AAF,KAAF,Apalachicola Regional,29.7302356,-85.02964472072705,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP
AAP,WALS,Andrau Airpark,29.833332,-95.666664,154,http://www.proyek.dishubprovkaltim.info/?pro=1,America/Chicago,HOU,US,,,,AP
ABE,KABE,Lehigh Valley International Airport,40.651163100000005,-75.44225386838299,374,,America/New_York,ABE,US,Catasauqua,Pennsylvania,Lehigh County,AP
ABI,KABI,Abilene Regional Airport,32.407743749999995,-99.67936992920886,1791,,America/Chicago,ABI,US,,,,AP
ABL,PAFM,Ambler Airport,67.1058333,-157.8536111,190,,America/Anchorage,ABL,US,,,,AP
ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.61096752176844,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP
ABR,KABR,Aberdeen Municipal Airport,45.4525,-98.42611,1289,,America/Chicago,ABR,US,Aberdeen,South Dakota,Brown County,AP
ABY,KABY,Southwest Georgia Regional Airport,31.5339678,-84.19254493414799,213,,America/New_York,ABY,US,,,,AP
ACB,KACB,Antrim County,44.98832545,-85.19719629581977,659,,America/Detroit,ACB,US,Bellaire,Michigan,Antrim County,AP
ACK,KACK,Nantucket Memorial Airport,41.256350600000005,-70.0642270361515,45,,America/New_York,ACK,US,Nantucket,Massachusetts,Nantucket County,AP
ACT,KACT,Waco Municipal Airport,31.609133,-97.22321,498,,America/Chicago,ACT,US,Gholson,Texas,McLennan County,AP
ACV,KACV,Arcata-Eureka Airport,40.9763645,-124.10842589937442,147,,America/Los_Angeles,ACV,US,McKinleyville,California,Humboldt County,AP
ACY,KACY,Atlantic City International Airport,39.45708535,-74.57027649092205,55,https://www.sjta.com/acairport/,America/New_York,AIY,US,Pomona,New Jersey,Atlantic County,AP
ADG,KADG,Lenawee County,41.9,-84.03333,800,,America/Detroit,ADG,US,Adrian,Michigan,Lenawee County,AP
ADK,PADK,Adak Island Ns,51.88278,-176.64473,29,,America/Adak,ADK,US,,,,AP
ADM,KADM,Ardmore Municipal Airport,34.3028,-97.0192,711,,America/Chicago,ADM,US,Dickson,Oklahoma,Carter County,AP
ADQ,PADQ,Kodiak Benny Benson State Airport,57.755276,-152.51297,45,,America/Anchorage,ADQ,US,,,,AP
ADR,KPHH,Andrews,33.45,-79.566666,42,,America/New_York,ADR,US,Andrews,South Carolina,Williamsburg County,AP
ADS,KADS,Addison Airport,32.783333,-97.3,521,,America/Chicago,DFW,US,Haltom City,Texas,Tarrant County,AP
ADT,KADH,Ada Municipal,34.80490015,-96.66761600367232,977,,America/Chicago,ADT,US,Ada,Oklahoma,Pontotoc County,AP
ADW,KADW,Andrews AFB,38.8057469,-76.87741646487015,255,http://www.jba.af.mil/,America/New_York,ADW,US,Andrews AFB,Maryland,Prince George's County,AP
AED,,Aleneva,58.033333,-152.9,1099,,America/Anchorage,AED,US,,,,AP
AEL,KAEL,Albert Lea,43.6800949,-93.36737639309429,1250,,America/Chicago,AEL,US,Albert Lea,Minnesota,Freeborn County,AP
AET,PFAL,Allakaket,66.55193399999999,-152.62144819086524,439,,America/Anchorage,AET,US,,,,AP
AEX,KAEX,Alexandria International Airport,31.329273649999998,-92.54095486627727,65,,America/Chicago,AEX,US,Alexandria,Louisiana,Rapides Parish,AP
AFF,KAFF,USAF Academy Airstrip,38.833332,-104.7,6266,,America/Denver,COS,US,Cimarron Hills,Colorado,El Paso County,AP
AFN,KAFN,Municipal,42.833332,-72.066666,1122,http://silverranchairpark.com/,America/New_York,AFN,US,Jaffrey,New Hampshire,Cheshire County,AP
AFO,KAFO,Municipal,42.733334,-110.933334,6230,http://www.aftonairpark.com/,America/Denver,AFO,US,Afton,Wyoming,Lincoln County,AP
AFW,KAFW,Fort Worth Alliance Airport,32.992997849999995,-97.31836461280574,643,http://www.allianceairport.com/,America/Chicago,DFW,US,Haslet,Texas,Tarrant County,AP
AGC,KAGC,Allegheny County Airport,40.3534454,-79.92904654320128,1250,,America/New_York,PIT,US,Pleasant Hills,Pennsylvania,Allegheny County,AP
AGN,PAGN,Angoon,57.503887,-134.58333,0,,America/Juneau,AGN,US,,,,AP
AGO,KAGO,Municipal,33.266666,-93.23333,314,,America/Chicago,AGO,US,Magnolia,Arkansas,Columbia County,AP
AGS,KAGS,Augusta Regional Airport,33.37230205,-81.9650639098103,101,,America/New_York,AGS,US,,,,AP
AHC,KAHC,Amedee AAF,40.15,-120.13333,4055,,America/Los_Angeles,AHC,US,Janesville,California,Lassen County,AP
AHD,,Downtown,34.166668,-97.13333,902,,America/Chicago,ADM,US,Ardmore,Oklahoma,Carter County,AP
AHF,,Municipal,40.3,-99.9,2152,,America/Chicago,AHF,US,Arapahoe,Nebraska,Furnas County,AP
AHH,KAHH,Municipal,45.3,-92.35,1089,,America/Chicago,AHH,US,Amery,Wisconsin,Polk County,AP
AHM,KS03,Sumner Parker Field,42.19029999,-122.6610031,1827,,America/Los_Angeles,AHM,US,Ashland,Oregon,Jackson County,AP
AHN,KAHN,Athens-Ben Epps,33.9487053,-83.32973997812988,767,,America/New_York,AHN,US,Winterville,Georgia,Clarke County,AP
AIA,KAIA,Alliance Airport,42.051666,-102.80666,3904,,America/Denver,AIA,US,Alliance,Nebraska,Box Butte County,AP
AID,KAID,Municipal,40.166668,-85.683334,882,,America/Indiana/Indianapolis,AID,US,Anderson,Indiana,Madison County,AP
AIK,KAIK,Municipal,33.566666,-81.71667,580,,America/New_York,AIK,US,Aiken,South Carolina,Aiken County,AP
AIN,PAWI,Wainwright,70.63790295000001,-160.0150279490063,22,,America/Anchorage,AIN,US,,,,AP
